"Source","Target"
"53798973","420142332"
"53798973","416445575"
"53798973","414024815"
"53798973","4018044316"
"53798973","4008771"
"53798973","399639479"
"53798973","380841357"
"53798973","377424425"
"53798973","373825681"
"53798973","3709487416"
"53798973","366103046"
"53798973","36383320"
"53798973","360700320"
"53798973","3577417229"
"53798973","3545038337"
"53798973","349104234"
"53798973","3424055230"
"53798973","3363726927"
"53798973","3362289555"
"53798973","3355249277"
"53798973","333349345"
"53798973","332945972"
"53798973","3306815273"
"53798973","328962636"
"53798973","32604687"
"53798973","3198126161"
"53798973","319242817"
"53798973","318660761"
"53798973","31177357"
"53798973","310520495"
"53798973","3083881"
"53798973","3071937514"
"53798973","306069058"
"53798973","305675050"
"53798973","3041679316"
"53798973","3037405161"
"53798973","3000734370"
"53798973","29955464"
"53798973","2991948728"
"53798973","2951846267"
"53798973","2931996812"
"53798973","2930786010"
"53798973","2912751153"
"53798973","2912493406"
"53798973","289254764"
"53798973","2878164633"
"53798973","286808635"
"53798973","2867935546"
"53798973","285944164"
"53798973","2851345257"
"53798973","2851250703"
"53798973","2842548453"
"53798973","2841533513"
"53798973","2834581527"
"53798973","2815916728"
"53798973","278414833"
"53798973","2774667894"
"53798973","270604212"
"53798973","260163857"
"53798973","259528569"
"53798973","251800523"
"53798973","251551411"
"53798973","251463542"
"53798973","247471390"
"53798973","2467824428"
"53798973","2462187374"
"53798973","2446521436"
"53798973","2445755058"
"53798973","242725124"
"53798973","2422411663"
"53798973","2417482606"
"53798973","2374983475"
"53798973","23572423"
"53798973","233532563"
"53798973","2331747024"
"53798973","2320507177"
"53798973","230465725"
"53798973","229832197"
"53798973","2242392601"
"53798973","2232807043"
"53798973","2222058110"
"53798973","222153850"
"53798973","22004446"
"53798973","2199580634"
"53798973","2192486359"
"53798973","2182544660"
"53798973","212874706"
"53798973","20696007"
"53798973","1975852578"
"53798973","196644810"
"53798973","1958592127"
"53798973","193044093"
"53798973","1870594712"
"53798973","184069308"
"53798973","18098631"
"53798973","17763042"
"53798973","17464719"
"53798973","1729794632"
"53798973","172064764"
"53798973","1678726447"
"53798973","16513356"
"53798973","1608959659"
"53798973","1599131593"
"53798973","159222870"
"53798973","158553424"
"53798973","1582624885"
"53798973","1551478800"
"53798973","15480982"
"53798973","1530715176"
"53798973","15088481"
"53798973","149053305"
"53798973","14755217"
"53798973","146381739"
"53798973","145556011"
"53798973","1453879220"
"53798973","144695732"
"53798973","1440587214"
"53798973","1435005313"
"53798973","1432797950"
"53798973","1429819598"
"53798973","14140057"
"53798973","1369694305"
"53798973","1356168434"
"53798973","1349040788"
"53798973","132718126"
"53798973","132613500"
"53798973","1322671574"
"53798973","1319890112"
"53798973","1310260704"
"53798973","128244426"
"53798973","128008556"
"53798973","12786782"
"53798973","1275624626"
"53798973","1269215209"
"53798973","126344168"
"53798973","125946287"
"53798973","1255773595"
"53798973","1252340790"
"53798973","1243147873"
"53798973","11753672"
"53798973","115702103"
"53798973","1153415406"
"53798973","113937776"
"53798973","1137642103"
"53798973","113643691"
"53798973","113462371"
"53798973","113398253"
"53798973","1133484409"
"53798973","110176485"
"53798973","10832922"
"53798973","107222340"
"53798973","1068155534996631555"
"53798973","1067293921452179456"
"53798973","1062458079470600194"
"53798973","1055181418777755650"
"53798973","104453370"
"53798973","1039098468994822146"
"53798973","1032551222526595072"
"53798973","1027151004"
"53798973","1025060027286077442"
"53798973","1024713882"
"53798973","1023216061422944257"
"53798973","1017466392877174785"
"53798973","1006419421244678144"
"53798973","1004789463032258561"
"22464771","978688232"
"22464771","952926584"
"22464771","951480480"
"22464771","941441316"
"22464771","918810164945391621"
"22464771","877836832406417408"
"22464771","866006946377236480"
"22464771","861942866989469697"
"22464771","861611250652000256"
"22464771","842385862361026560"
"22464771","84204116"
"22464771","835475906495934464"
"22464771","829280595230486528"
"22464771","826518250385186819"
"22464771","825909852"
"22464771","825708230710005760"
"22464771","824933374708023298"
"22464771","80820758"
"22464771","80528373"
"22464771","801822323825410049"
"22464771","79985904"
"22464771","798817098180890624"
"22464771","771590972748640256"
"22464771","7607262"
"22464771","74721812"
"22464771","743432061088899073"
"22464771","722117871871111168"
"22464771","70723029"
"22464771","66667405"
"22464771","64863181"
"22464771","632873550"
"22464771","616103188"
"22464771","596420812"
"22464771","584705278"
"22464771","5817212"
"22464771","579330283"
"22464771","578143022"
"22464771","568651462"
"22464771","558985098"
"22464771","553429510"
"22464771","532997638"
"22464771","4957271"
"22464771","492648852"
"22464771","4897361049"
"22464771","463153841"
"22464771","4610850641"
"22464771","457644056"
"22464771","457444998"
"22464771","455806353"
"22464771","44196397"
"22464771","438305534"
"22464771","4327786283"
"22464771","4158495833"
"22464771","413129652"
"22464771","4106852303"
"22464771","391385801"
"22464771","389644606"
"22464771","387783314"
"22464771","37509285"
"22464771","374438368"
"22464771","373094788"
"22464771","369914677"
"22464771","36624467"
"22464771","360019007"
"22464771","357487383"
"22464771","338955445"
"22464771","332824252"
"22464771","3302594272"
"22464771","317655205"
"22464771","312641088"
"22464771","308721132"
"22464771","3054061793"
"22464771","302693733"
"22464771","300190134"
"22464771","2894855645"
"22464771","2829534846"
"22464771","2827989882"
"22464771","2813249451"
"22464771","280973617"
"22464771","2742080763"
"22464771","2739738508"
"22464771","26073581"
"22464771","258835467"
"22464771","2543543850"
"22464771","23740354"
"22464771","2317502810"
"22464771","2270881405"
"22464771","2186556947"
"22464771","207190674"
"22464771","1976143068"
"22464771","1975045284"
"22464771","1900027512"
"22464771","18969131"
"22464771","1725137533"
"22464771","1652177576"
"22464771","1623926822"
"22464771","1598331678"
"22464771","1534732470"
"22464771","149539920"
"22464771","147625273"
"22464771","14658057"
"22464771","145150239"
"22464771","1446653228"
"22464771","14237828"
"22464771","1394672978"
"22464771","139195229"
"22464771","133663801"
"22464771","125727024"
"22464771","1230868171"
"22464771","117798111"
"22464771","117459814"
"22464771","1117906264028270594"
"22464771","1110890216"
"22464771","1084136405889150976"
"22464771","108257287"
"22464771","1035534674498674689"
"22464771","1019159190537940992"
"149539920","998538158"
"149539920","997100257"
"149539920","996884244"
"149539920","995253181"
"149539920","991214378"
"149539920","989922998147862529"
"149539920","988896804"
"149539920","98857098"
"149539920","988392649"
"149539920","988319198"
"149539920","98765275"
"149539920","987313338"
"149539920","987022944"
"149539920","986720082"
"149539920","98651383"
"149539920","98635149"
"149539920","986279990969978880"
"149539920","978908012"
"149539920","97752137"
"149539920","9763482"
"149539920","975722496"
"149539920","97530222"
"149539920","9752442"
"149539920","972651"
"149539920","972491232"
"149539920","97246282"
"149539920","97179206"
"149539920","97008507"
"149539920","9695312"
"149539920","96948864"
"149539920","96948074"
"149539920","96780715"
"149539920","967726804063670272"
"149539920","96771618"
"149539920","9676212"
"149539920","96648191"
"149539920","96519194"
"149539920","964257576"
"149539920","96364724"
"149539920","962573815"
"149539920","960960576"
"149539920","960816673"
"149539920","95954557"
"149539920","95926999"
"149539920","95674040"
"149539920","95667467"
"149539920","9561742"
"149539920","954590804"
"149539920","95431448"
"149539920","95379249"
"149539920","953278568"
"149539920","952582425527422976"
"149539920","952354898"
"149539920","952198824"
"149539920","951909223"
"149539920","951849552"
"149539920","951710862"
"149539920","951480480"
"149539920","9507972"
"149539920","95073890"
"149539920","950372730"
"149539920","949604705772228608"
"149539920","949341888"
"149539920","946415603186917377"
"149539920","94639723"
"149539920","94611379"
"149539920","94594648"
"149539920","94593836"
"149539920","94585213"
"149539920","94581802"
"149539920","945586656"
"149539920","945122066"
"149539920","94345378"
"149539920","94114176"
"149539920","93966147"
"149539920","93874450"
"149539920","93843038"
"149539920","93745639"
"149539920","936902311347093504"
"149539920","93644596"
"149539920","93634933"
"149539920","93630781"
"149539920","93592851"
"149539920","934463510"
"149539920","932897197"
"149539920","93269838"
"149539920","93266739"
"149539920","932240319688699905"
"149539920","932220524"
"149539920","931700017"
"149539920","93131556"
"149539920","930058832"
"149539920","92975536"
"149539920","92971358"
"149539920","92945903"
"149539920","929305056"
"149539920","926001282682322944"
"149539920","92564226"
"149539920","9245222"
"149539920","92335697"
"149539920","9229672"
"149539920","92245322"
"149539920","921149592"
"149539920","920763996"
"149539920","9207632"
"149539920","92055625"
"149539920","9204502"
"149539920","919437240"
"149539920","9185962"
"149539920","91818531"
"149539920","918109707155525632"
"149539920","91806970"
"149539920","91769072"
"149539920","916484168"
"149539920","915560533"
"149539920","91478624"
"149539920","91355016"
"149539920","91324102"
"149539920","9130882"
"149539920","912084145"
"149539920","910127605277495297"
"149539920","908245875503374336"
"149539920","90774609"
"149539920","906647966"
"149539920","90556897"
"149539920","905134008262172674"
"149539920","90415370"
"149539920","90392942"
"149539920","903628440"
"149539920","902903758446788609"
"149539920","900894660"
"149539920","900399835169292288"
"149539920","899443476"
"149539920","89827060"
"149539920","89784381"
"149539920","897090529"
"149539920","89660031"
"149539920","895123892"
"149539920","89507852"
"149539920","893758854294589440"
"149539920","89211580"
"149539920","88975905"
"149539920","88927433"
"149539920","888951252"
"149539920","88893451"
"149539920","88878382"
"149539920","888025786229411840"
"149539920","88708920"
"149539920","88667917"
"149539920","884403536406224896"
"149539920","8839632"
"149539920","883225909368631296"
"149539920","881844380"
"149539920","88047464"
"149539920","880261837"
"149539920","88019951"
"149539920","879589964"
"149539920","879485388"
"149539920","87892645"
"149539920","87886754"
"149539920","87818409"
"149539920","87788550"
"149539920","8775672"
"149539920","877280696871661568"
"149539920","87645208"
"149539920","875735084"
"149539920","875283222"
"149539920","875280010877296640"
"149539920","87513377"
"149539920","87500779"
"149539920","87491355"
"149539920","87416722"
"149539920","87410067"
"149539920","873930656"
"149539920","873659605"
"149539920","872724695891759105"
"149539920","87227411"
"149539920","87171878"
"149539920","87162538"
"149539920","870698591450353664"
"149539920","87000390"
"149539920","86956954"
"149539920","86946790"
"149539920","86909567"
"149539920","868547785"
"149539920","868112707"
"149539920","867610632"
"149539920","86753260"
"149539920","86365953"
"149539920","863405239"
"149539920","86337508"
"149539920","86326843"
"149539920","86322463"
"149539920","861574608"
"149539920","86141342"
"149539920","86054785"
"149539920","860029016"
"149539920","858703794"
"149539920","85795774"
"149539920","85772748"
"149539920","857691266"
"149539920","857137261"
"149539920","856681932"
"149539920","85603854"
"149539920","855673520"
"149539920","855465590"
"149539920","85541760"
"149539920","854564358"
"149539920","85401970"
"149539920","85362553"
"149539920","85340414"
"149539920","85334007"
"149539920","85307560"
"149539920","85286475"
"149539920","851371611274043392"
"149539920","849338462"
"149539920","847396122"
"149539920","84622573"
"149539920","846224808"
"149539920","8460572"
"149539920","84577955"
"149539920","84545265"
"149539920","8453452"
"149539920","845225515"
"149539920","84358766"
"149539920","843112550"
"149539920","84282385"
"149539920","84279963"
"149539920","84181532"
"149539920","841172090"
"149539920","8402772"
"149539920","840190298"
"149539920","83900525"
"149539920","838662552"
"149539920","83864876"
"149539920","83832642"
"149539920","838208960"
"149539920","83806427"
"149539920","83795099"
"149539920","83784709"
"149539920","836558226011348992"
"149539920","836192167613849600"
"149539920","836003787739398144"
"149539920","83590349"
"149539920","835630728"
"149539920","835119343096692737"
"149539920","8350912"
"149539920","83466368"
"149539920","83310898"
"149539920","832766641"
"149539920","832354701681233920"
"149539920","831321542017421312"
"149539920","830762894"
"149539920","830045248583667712"
"149539920","829755688767352832"
"149539920","82898516"
"149539920","82896397"
"149539920","828931483"
"149539920","82892603"
"149539920","828592171"
"149539920","826953600"
"149539920","8266352"
"149539920","82662909"
"149539920","82640966"
"149539920","826145502"
"149539920","826081714116112384"
"149539920","825240776"
"149539920","82353781"
"149539920","82312014"
"149539920","822984456"
"149539920","822215679726100480"
"149539920","822127086194348032"
"149539920","821229097"
"149539920","81943993"
"149539920","81894289"
"149539920","818910970567344128"
"149539920","818837224003289088"
"149539920","81869480"
"149539920","81868380"
"149539920","818102707"
"149539920","81792981"
"149539920","817134721"
"149539920","816729103340621827"
"149539920","816653"
"149539920","815689640"
"149539920","815669194121416705"
"149539920","81435112"
"149539920","813687750"
"149539920","813286"
"149539920","81305054"
"149539920","81063019"
"149539920","810469406505627648"
"149539920","810446802"
"149539920","810424"
"149539920","80985167"
"149539920","80863732"
"149539920","808428122"
"149539920","808417134"
"149539920","807703597"
"149539920","807095"
"149539920","807023612"
"149539920","80655102"
"149539920","80614091"
"149539920","806133"
"149539920","804745288674066432"
"149539920","804084282"
"149539920","803979929146847232"
"149539920","803049192"
"149539920","800894892587286532"
"149539920","800604661"
"149539920","80015284"
"149539920","79939248"
"149539920","79579327"
"149539920","795120691"
"149539920","794793043"
"149539920","794294227509411840"
"149539920","79300950"
"149539920","79293791"
"149539920","79145543"
"149539920","78957336"
"149539920","78913883"
"149539920","78892367"
"149539920","788524"
"149539920","788085432"
"149539920","787923049"
"149539920","786815718"
"149539920","786655819"
"149539920","786649334"
"149539920","78592167"
"149539920","78585499"
"149539920","78583942"
"149539920","784680583"
"149539920","784306729"
"149539920","78384881"
"149539920","783254585544695808"
"149539920","783036109"
"149539920","78283843"
"149539920","78270681"
"149539920","78256826"
"149539920","7817142"
"149539920","78021221"
"149539920","778996361958084608"
"149539920","778026984"
"149539920","77790954"
"149539920","77740842"
"149539920","77664629"
"149539920","77502667"
"149539920","773100678"
"149539920","77252781"
"149539920","77182096"
"149539920","771606164"
"149539920","76932591"
"149539920","76907268"
"149539920","76898457"
"149539920","7682502"
"149539920","767228583605567488"
"149539920","76636200"
"149539920","765849247262633984"
"149539920","765593041"
"149539920","764510712"
"149539920","76445286"
"149539920","76315278"
"149539920","7614292"
"149539920","76017958"
"149539920","759251"
"149539920","7587032"
"149539920","757514581044498432"
"149539920","75742264"
"149539920","756865914784649217"
"149539920","756779306"
"149539920","75554995"
"149539920","755526150"
"149539920","755472247"
"149539920","75425542"
"149539920","75282284"
"149539920","752488316893798400"
"149539920","7514802"
"149539920","751450530"
"149539920","75097609"
"149539920","75044589"
"149539920","75015661"
"149539920","74762306"
"149539920","74472304"
"149539920","74453123"
"149539920","74449517"
"149539920","74400293"
"149539920","74397115"
"149539920","743432061088899073"
"149539920","743402826"
"149539920","74286565"
"149539920","7428362"
"149539920","742817124"
"149539920","742701805"
"149539920","7424642"
"149539920","742143"
"149539920","74120922"
"149539920","740954192"
"149539920","740797309"
"149539920","740204908079677442"
"149539920","73852362"
"149539920","735596421932404736"
"149539920","735077934730448897"
"149539920","73407177"
"149539920","73401764"
"149539920","73359920"
"149539920","73340073"
"149539920","73190286"
"149539920","73130932"
"149539920","7309052"
"149539920","73063223"
"149539920","730423770"
"149539920","72937606"
"149539920","72873410"
"149539920","72851410"
"149539920","72818434"
"149539920","72814599"
"149539920","728041627"
"149539920","72568426"
"149539920","725612890292625408"
"149539920","725241657608814592"
"149539920","72522903"
"149539920","72520597"
"149539920","72258470"
"149539920","7223522"
"149539920","721832340914368512"
"149539920","7212562"
"149539920","721057763166699521"
"149539920","7204752"
"149539920","719923333"
"149539920","718261531834761221"
"149539920","717694350168297472"
"149539920","716657849707970561"
"149539920","716360161829462016"
"149539920","715500597777199106"
"149539920","71540668"
"149539920","715280726497828865"
"149539920","713721447382917121"
"149539920","71305265"
"149539920","713003123"
"149539920","7128822"
"149539920","712567688481124352"
"149539920","71241141"
"149539920","710909960"
"149539920","710505378505695232"
"149539920","71016845"
"149539920","709697598777651200"
"149539920","7087112"
"149539920","7080152"
"149539920","70683528"
"149539920","706819416"
"149539920","70663511"
"149539920","70657440"
"149539920","705395447"
"149539920","705011179975012352"
"149539920","70409290"
"149539920","703974019"
"149539920","703875656"
"149539920","70292831"
"149539920","702501772284264448"
"149539920","70100659"
"149539920","700737161708986369"
"149539920","70008157"
"149539920","696766869940867076"
"149539920","69615597"
"149539920","69615397"
"149539920","69534677"
"149539920","69255422"
"149539920","69231187"
"149539920","69061257"
"149539920","69060527"
"149539920","69060064"
"149539920","69040493"
"149539920","69032746"
"149539920","68972885"
"149539920","6897012"
"149539920","68940196"
"149539920","6891012"
"149539920","685513"
"149539920","68482130"
"149539920","68440549"
"149539920","68399194"
"149539920","67995848"
"149539920","6770022"
"149539920","67358777"
"149539920","67278158"
"149539920","67277851"
"149539920","67277380"
"149539920","67036791"
"149539920","66967746"
"149539920","66692317"
"149539920","6661522"
"149539920","6652032"
"149539920","66515223"
"149539920","66418128"
"149539920","66371207"
"149539920","66369181"
"149539920","66340088"
"149539920","66316033"
"149539920","66114401"
"149539920","65992743"
"149539920","65698096"
"149539920","65421774"
"149539920","65416867"
"149539920","65327819"
"149539920","6519522"
"149539920","65069875"
"149539920","64968526"
"149539920","64748390"
"149539920","64730714"
"149539920","64722705"
"149539920","64672345"
"149539920","64643056"
"149539920","64510593"
"149539920","6449282"
"149539920","64418855"
"149539920","64385029"
"149539920","6433472"
"149539920","6416622"
