source, target
"994934816352231425","3150901497"
"994934816352231425","2773071372"
"994934816352231425","1297364972"
"994934816352231425","121568252"
"993448094","996698079180050433"
"993448094","96138456"
"993448094","92302750"
"993448094","896677848706166788"
"993448094","858739669537890306"
"993448094","846787135235657729"
"993448094","837211584"
"993448094","83614322"
"993448094","817189792769339392"
"993448094","771462178880778240"
"993448094","729272458193309696"
"993448094","614554302"
"993448094","610955831"
"993448094","528493066"
"993448094","493265079"
"993448094","4866172073"
"993448094","464550752"
"993448094","410735213"
"993448094","3438438869"
"993448094","33962372"
"993448094","330508194"
"993448094","3257215162"
"993448094","303070509"
"993448094","2968158357"
"993448094","2815916728"
"993448094","269809161"
"993448094","2549518892"
"993448094","2417126766"
"993448094","2350150399"
"993448094","2188304664"
"993448094","194173066"
"993448094","19064287"
"993448094","18721640"
"993448094","18122537"
"993448094","1733504264"
"993448094","1543813320"
"993448094","1425787915"
"993448094","127590629"
"993448094","1241218458"
"993448094","121568252"
"993448094","112153936"
"993448094","111858564"
"993448094","1059591027722465281"
"993448094","1036512669921099776"
"993180867941019648","80763859"
"993180867941019648","120865840"
"98968553","847419130772770816"
"98968553","3480236423"
"98968553","33962372"
"98968553","303070509"
"98968553","301480200"
"98968553","1638946448"
"988875432899633153","554485198"
"988875432899633153","302906057"
"988156684903346177","978332138029355008"
"988156684903346177","973730653"
"988156684903346177","948032205124759553"
"988156684903346177","928700888784437249"
"988156684903346177","919153760433246208"
"988156684903346177","858739669537890306"
"988156684903346177","851434250993901570"
"988156684903346177","850449216321335296"
"988156684903346177","847419130772770816"
"988156684903346177","842497726181003269"
"988156684903346177","839503441424691201"
"988156684903346177","835969941744541700"
"988156684903346177","834800247503196160"
"988156684903346177","826436711878127616"
"988156684903346177","823528345321275394"
"988156684903346177","822823161867681793"
"988156684903346177","807669927524102144"
"988156684903346177","805084332"
"988156684903346177","797887750871666689"
"988156684903346177","770220718558707712"
"988156684903346177","754296132289912832"
"988156684903346177","735580824632987648"
"988156684903346177","735253531"
"988156684903346177","731434247257501696"
"988156684903346177","724983920119406592"
"988156684903346177","715398895635791874"
"988156684903346177","714015199574024192"
"988156684903346177","68623706"
"988156684903346177","63253971"
"988156684903346177","617221191"
"988156684903346177","608480605"
"988156684903346177","555919457"
"988156684903346177","528493066"
"988156684903346177","518475953"
"988156684903346177","509781835"
"988156684903346177","506493498"
"988156684903346177","494277470"
"988156684903346177","493400724"
"988156684903346177","493170552"
"988156684903346177","493110289"
"988156684903346177","4928020474"
"988156684903346177","4919853082"
"988156684903346177","4866172073"
"988156684903346177","471031900"
"988156684903346177","467318410"
"988156684903346177","4258639228"
"988156684903346177","394961572"
"988156684903346177","376263451"
"988156684903346177","367916454"
"988156684903346177","3665584515"
"988156684903346177","340435921"
"988156684903346177","33962372"
"988156684903346177","3294113488"
"988156684903346177","326709007"
"988156684903346177","307547481"
"988156684903346177","306639488"
"988156684903346177","304931146"
"988156684903346177","302906057"
"988156684903346177","30202175"
"988156684903346177","299730426"
"988156684903346177","299224851"
"988156684903346177","2987930355"
"988156684903346177","2973599247"
"988156684903346177","2968158357"
"988156684903346177","290509123"
"988156684903346177","28816518"
"988156684903346177","2868144423"
"988156684903346177","2850467439"
"988156684903346177","2846737657"
"988156684903346177","2834846529"
"988156684903346177","2810140803"
"988156684903346177","2773071372"
"988156684903346177","277014891"
"988156684903346177","272806355"
"988156684903346177","259528569"
"988156684903346177","254947242"
"988156684903346177","248674718"
"988156684903346177","2481916265"
"988156684903346177","2454381931"
"988156684903346177","2225239256"
"988156684903346177","2198626974"
"988156684903346177","2169682599"
"988156684903346177","214849443"
"988156684903346177","17588280"
"988156684903346177","1732280666"
"988156684903346177","1707319650"
"988156684903346177","164585903"
"988156684903346177","1520333173"
"988156684903346177","1425787915"
"988156684903346177","1362676237"
"988156684903346177","1329948986"
"988156684903346177","128483210"
"988156684903346177","121051816"
"988156684903346177","112542685"
"988156684903346177","1065118561205669888"
"988156684903346177","1050333455798738945"
"988156684903346177","1030090065249222661"
"988156684903346177","1025197435"
"988156684903346177","1024758445"
"988156684903346177","1022558868"
"988156684903346177","1020730072376987648"
"988156684903346177","1020021918"
"988156684903346177","1014933668450750464"
"988156684903346177","1007296680390164481"
"988114273477029888","923100765073367040"
"988114273477029888","625942376"
"988114273477029888","509781835"
"988114273477029888","3597007095"
"988114273477029888","319670635"
"988114273477029888","302906057"
"988114273477029888","301480200"
"988114273477029888","300812428"
"988114273477029888","1241218458"
"987296664","864156605218246656"
"987296664","769948286883094528"
"987296664","76319442"
"987296664","406377375"
"987296664","341613327"
"987296664","3107358767"
"987296664","2316805206"
"987296664","2198515964"
"987296664","149893981"
"987296664","1109101213"
"987296664","1093113384"
"987046556","92945903"
"987046556","91198355"
"987046556","300812428"
"987046556","155513541"
"987046556","1187071814"
"981103538846752768","890737865705099264"
"981103538846752768","842497726181003269"
"981103538846752768","3150901497"
